key,title,budget,revenue,profit,return,year,month,day,day_week,collection
34359740703,Strongman,0,0,0,,2011,Enero,25,Martes,
34359740797,The Valley,0,0,0,,1972,Julio,06,Jueves,
34359740895,Reykjavik-Rotterdam,0,0,0,,2008,Septiembre,30,Martes,
34359741280,Macon County Line,0,0,0,,1974,Enero,01,Martes,
34359741417,King of Beggars,0,0,0,,1992,Diciembre,17,Jueves,
34359741438,Viva,0,0,0,,2007,Enero,01,Lunes,
34359738526,The Hamster Factor and Other Tales of Twelve Monkeys,0,0,0,,1997,Enero,01,Miercoles,
34359738603,The Desperados,0,0,0,,1969,Febrero,28,Viernes,
34359738958,Luck By Chance,0,0,0,,2009,Marzo,27,Viernes,
34359739036,Voyage to Cythera,0,0,0,,1984,Abril,21,Sabado,
34359739269,The Master and Margaret,0,0,0,,1972,Julio,15,Sabado,
34359739299,The Company Men,15000000,4882577,-10117423,0.3255051333333333,2010,Octubre,21,Jueves,
34359739320,Late Night Trains,0,0,0,,1975,Abril,09,Miercoles,
34359739462,The Young in Heart,0,0,0,,1938,Julio,06,Miercoles,
34359739622,And Now My Love,0,0,0,,1974,Mayo,15,Miercoles,
34359739744,Run of the Arrow,0,0,0,,1957,Septiembre,05,Jueves,
34359739917,Boy,3,43,40,14.333333333333334,2010,Febrero,14,Domingo,
34359739957,St. George Shoots the Dragon,5000000,0,-5000000,0.0,2009,Marzo,11,Miercoles,
34359739997,Welcome to the South,4000000,65584679,61584679,16.39616975,2010,Octubre,01,Viernes,Benvenuti al... Collection
34359740127,Black Fury,0,0,0,,1935,Mayo,18,Sabado,
34359740347,Human Failure,0,0,0,,,,,,
34359740532,Tender Is the Night,0,0,0,,1962,Enero,19,Viernes,
34359740690,The Lodger,0,0,0,,2009,Enero,14,Miercoles,
34359740793,I Am,0,0,0,,2005,Noviembre,04,Viernes,
34359741139,The Story of Mankind,0,0,0,,1957,Noviembre,08,Viernes,
34359741286,The Student,0,0,0,,2011,Septiembre,01,Jueves,
34359739103,Ten Skies,0,0,0,,2004,Noviembre,21,Domingo,
34359739848,Wild Is the Wind,0,0,0,,1957,Diciembre,11,Miercoles,
34359740176,Hollow Triumph,0,0,0,,1948,Junio,18,Viernes,
34359740471,Vice Squad,0,0,0,,1953,Julio,31,Viernes,
34359740510,Comanche Moon,0,0,0,,2008,Enero,13,Domingo,Lonesome Dove Collection
34359740715,Chill,850000,0,-850000,0.0,2007,Febrero,15,Jueves,
34359740784,Phineas and Ferb the Movie: Across the 2nd Dimension,0,0,0,,2011,Agosto,05,Viernes,
34359741120,Dreileben: Beats Being Dead,0,0,0,,2011,Abril,13,Miercoles,Dreileben
34359741371,Aurora,0,0,0,,2011,Marzo,11,Viernes,
34359741423,My Future Boyfriend,0,0,0,,2011,Abril,10,Domingo,
34359738580,Dr. Moreau's House of Pain,0,0,0,,2004,Enero,13,Martes,
34359738692,TEKKEN,30000000,967000,-29033000,0.032233333333333336,2010,Marzo,20,Sabado,Tekken Collection
34359739306,Adventures of Power,2500000,0,-2500000,0.0,2008,Enero,20,Domingo,
34359739408,White Wedding,0,0,0,,1989,Noviembre,08,Miercoles,
34359740033,Ito: Diary of an Urban Priest,560000,0,-560000,0.0,2010,Noviembre,12,Viernes,
34359740769,Felicity,0,0,0,,1978,Octubre,09,Lunes,
34359740801,Nothing Personal,0,0,0,,2009,Agosto,14,Viernes,
34359740884,Don't Change Your Husband,0,0,0,,1919,Enero,26,Domingo,
34359741115,Progression,0,0,0,,2009,Enero,01,Jueves,
34359741309,Salvation Boulevard,8000000,0,-8000000,0.0,2011,Julio,15,Viernes,
34359741317,Boy Meets Girl,0,0,0,,1938,Agosto,27,Sabado,
34359741332,Territories,0,0,0,,2010,Octubre,19,Martes,
34359738370,Mandingo,0,0,0,,1975,Junio,06,Viernes,
34359738485,The Front Line,0,0,0,,2006,Julio,16,Domingo,
34359739080,The Horse Boy,0,0,0,,2009,Noviembre,25,Miercoles,
34359739341,Pigs and Battleships,0,0,0,,1961,Enero,21,Sabado,
34359739611,Chain Letter,0,0,0,,2010,Octubre,01,Viernes,
34359739689,The Misadventures of Margaret,5,0,-5,0.0,1998,Diciembre,23,Miercoles,
34359739831,Chang: A Drama of the Wilderness,0,0,0,,1927,Septiembre,03,Sabado,
34359739963,Easy Money,0,0,0,,2010,Enero,15,Viernes,Easy Money Collection
34359740019,Mildred Pierce,20000000,0,-20000000,0.0,2011,Marzo,27,Domingo,
34359740344,For Heaven's Sake,0,0,0,,1926,Abril,05,Lunes,
34359740809,Zombie Island Massacre,0,0,0,,1984,Noviembre,20,Martes,
34359741116,Rage,0,0,0,,2009,Septiembre,24,Jueves,
34359741283,This Is Not a Film,0,0,0,,2011,Septiembre,27,Martes,
34359738785,Symbol,0,0,0,,2009,Septiembre,12,Sabado,
34359739192,Let It Rain,0,0,0,,2008,Septiembre,17,Miercoles,
34359739230,A Man Called Peter,0,0,0,,1955,Marzo,31,Jueves,
34359739384,And Soon the Darkness,0,0,0,,2010,Febrero,25,Jueves,
34359739556,2012: Time for Change,0,0,0,,2010,Octubre,08,Viernes,
34359739860,The Kings of Mykonos,0,0,0,,2010,Mayo,20,Jueves,
34359739880,Don't You Forget About Me,0,0,0,,2010,Julio,13,Martes,
34359739972,Rio,90000000,484635760,394635760,5.384841777777778,2011,Abril,03,Domingo,Rio Collection
34359740217,Wake,0,0,0,,2009,Febrero,25,Miercoles,
34359740572,Sweet Rush,0,0,0,,2009,Abril,23,Jueves,
34359740649,Carancho,0,0,0,,2010,Mayo,06,Jueves,
34359740824,Bulldog Drummond Escapes,0,0,0,,1937,Abril,21,Miercoles,
34359740999,God's Little Acre,0,0,0,,1958,Septiembre,23,Martes,
34359741164,The Rum Diary,45000000,24000000,-21000000,0.5333333333333333,2011,Octubre,13,Jueves,
34359741230,That Cold Day in the Park,500000,0,-500000,0.0,1969,Junio,08,Domingo,
34359741406,My Man and I,0,0,0,,1952,Septiembre,05,Viernes,
34359738389,Princess Raccoon,0,0,0,,2005,Mayo,28,Sabado,
34359738523,The Wizard of Oz,0,0,0,,1925,Enero,01,Jueves,
34359738531,Beware of the Car!,0,0,0,,1966,Enero,01,Sabado,
34359738554,The Northerners,0,0,0,,1992,Abril,17,Viernes,
34359738568,The Man from London,0,0,0,,2008,Enero,31,Jueves,
34359738787,22 Bullets,24000000,0,-24000000,0.0,2010,Marzo,23,Martes,
34359738846,Broadway Melody of 1936,0,0,0,,1935,Septiembre,20,Viernes,
34359738991,Where Love Has Gone,0,0,0,,1964,Noviembre,02,Lunes,
34359739118,My Childhood,0,0,0,,1972,Junio,05,Lunes,
34359739162,The Bread and Alley,0,0,0,,1970,Enero,01,Jueves,
34359739213,Bunny and the Bull,0,81010,81010,,2009,Noviembre,27,Viernes,
34359739430,Asphalt,0,0,0,,1929,Marzo,12,Martes,
34359739805,Scooby-Doo! Curse of the Lake Monster,0,0,0,,2010,Octubre,15,Viernes,Scooby-Doo Collection
34359739920,Female Vampire,0,0,0,,1975,Enero,24,Viernes,
34359739975,The Mudlark,0,0,0,,1950,Noviembre,28,Martes,
34359740322,The Scenic Route,0,0,0,,1978,Abril,15,Sabado,
34359740506,The Smurfs,110000000,563749323,453749323,5.124993845454545,2011,Julio,29,Viernes,The Smurfs (Theatrical) Collection
34359740795,La Maladie de Sachs,0,0,0,,1999,Septiembre,22,Miercoles,
34359740958,Portrait Werner Herzog,0,0,0,,1986,Marzo,27,Jueves,
34359738404,Heart Like A Wheel,0,0,0,,1983,Abril,01,Viernes,
34359738928,Merrily We Live,0,0,0,,1938,Marzo,04,Viernes,
34359739166,Islander,0,0,0,,2006,Enero,01,Domingo,
34359739457,Agony: The Life and Death of Rasputin,0,0,0,,1975,Junio,01,Domingo,
34359739677,Country Strong,15000000,20529194,5529194,1.3686129333333332,2010,Diciembre,22,Miercoles,
34359740066,Babylon,0,0,0,,1980,Noviembre,07,Viernes,
34359740370,King and Country,0,0,0,,1964,Septiembre,05,Sabado,
34359740420,Virgin Stripped Bare by Her Bachelors,0,0,0,,2000,Mayo,27,Sabado,
34359740452,Captain America: The First Avenger,140000000,370569774,230569774,2.646926957142857,2011,Julio,22,Viernes,Captain America Collection
34359740864,Once Upon a Time in Anatolia,0,138730,138730,,2011,Septiembre,23,Viernes,
34359741428,Policeman,0,0,0,,2011,Julio,09,Sabado,
34359741433,We Won't Grow Old Together,0,0,0,,1972,Mayo,02,Martes,
34359738794,Heroes for Sale,290,0,-290,0.0,1933,Junio,17,Sabado,
34359739325,Stars in My Crown,0,0,0,,1950,Mayo,11,Jueves,
34359739427,Paternity,0,0,0,,1981,Octubre,02,Viernes,
34359739456,Cops,0,0,0,,1922,Marzo,15,Miercoles,
34359739514,V2: Dead Angel,0,0,0,,2007,Enero,11,Jueves,
34359739515,My Wife's Relations,0,0,0,,1922,Mayo,15,Lunes,
34359740102,Invitation to the Dance,0,0,0,,1956,Mayo,22,Martes,
34359740392,The Doorway to Hell,0,0,0,,1930,Octubre,18,Sabado,
34359740479,The Woman,0,0,0,,2011,Octubre,14,Viernes,
34359740608,Sins of My Father,0,0,0,,2009,Diciembre,10,Jueves,
34359740746,Korridoren,0,0,0,,1968,Diciembre,11,Miercoles,
34359740794,My Little Business,0,0,0,,1999,Septiembre,01,Miercoles,
34359740859,Main Street,10000000,0,-10000000,0.0,2010,Octubre,21,Jueves,
34359741010,The War of the Robots,0,0,0,,1978,Enero,01,Domingo,
34359741177,The Wedding Director,0,0,0,,2006,Abril,21,Viernes,
34359741427,Images of the World and the Inscription of War,0,0,0,,1989,Febrero,21,Martes,
34359738920,Dragonlance: Dragons Of Autumn Twilight,0,0,0,,2008,Enero,15,Martes,
34359738932,Countdown,0,0,0,,1968,Febrero,01,Jueves,
34359739078,Tribute,0,0,0,,1980,Diciembre,14,Domingo,
34359739978,Gold Diggers of 1937,0,0,0,,1936,Diciembre,28,Lunes,
34359740242,Everything Must Go,5000000,2614773,-2385227,0.5229546,2010,Octubre,15,Viernes,
34359740316,The Four-Faced Liar,2000000,0,-2000000,0.0,2010,Enero,01,Viernes,
34359740512,Dylan Dog: Dead of Night,20000000,4634062,-15365938,0.2317031,2011,Marzo,16,Miercoles,
34359740667,Bolivia,0,0,0,,2001,Septiembre,22,Sabado,
34359740933,The Living Desert,0,0,0,,1953,Noviembre,10,Martes,
34359741011,Prisoners of the Lost Universe,0,0,0,,1983,Agosto,15,Lunes,
34359741033,Ballad of the Little Soldier,0,0,0,,1984,Noviembre,05,Lunes,
34359741434,"Turn Me On, Dammit!",3100000,0,-3100000,0.0,2011,Agosto,19,Viernes,
34359738507,The Yellow Handkerchief,15000000,317000,-14683000,0.021133333333333334,2008,Diciembre,17,Miercoles,
34359738627,See What I'm Saying: The Deaf Entertainers Documentary,0,0,0,,2010,Marzo,19,Viernes,
34359738716,Children of Hiroshima,0,0,0,,1952,Agosto,06,Miercoles,
34359738892,Dark Night of the Scarecrow,0,0,0,,1981,Octubre,24,Sabado,
34359738925,Bran Nue Dae,7,7,0,1.0,2009,Agosto,09,Domingo,
34359738936,To the Limit,0,0,0,,2007,Febrero,09,Viernes,
34359739127,Marcel Reich-Ranicki - Mein Leben,0,0,0,,2009,Abril,10,Viernes,
34359739417,Band Baaja Baaraat,0,0,0,,2010,Diciembre,10,Viernes,
34359739568,Poetry,0,349899,349899,,2010,Mayo,13,Jueves,
34359739709,Werewolves on Wheels,0,0,0,,1971,Noviembre,19,Viernes,
34359739835,Red Riding Hood,42000000,89162162,47162162,2.122908619047619,2011,Marzo,11,Viernes,
34359739901,The Jericho Mile,0,0,0,,1979,Marzo,01,Jueves,
34359740143,Diary of a Cannibal,0,0,0,,2007,Abril,24,Martes,
34359740153,Son of Babylon,0,0,0,,2009,Mayo,01,Viernes,
34359740298,Papa's Delicate Condition,0,0,0,,1963,Marzo,06,Miercoles,
34359740496,Madeleine,0,0,0,,1950,Febrero,14,Martes,
34359740541,Lawyer Man,0,0,0,,1933,Enero,07,Sabado,
34359740651,Recollections of the Yellow House,0,0,0,,1989,Enero,01,Domingo,
34359740672,The Greatest Movie Ever Sold,0,621951,621951,,2011,Abril,22,Viernes,
34359740799,Masti,0,0,0,,2004,Abril,09,Viernes,
34359740935,Salaam Cinema,0,0,0,,1995,Enero,01,Domingo,
34359740947,Cuckoo in a Dark Forest,0,0,0,,1986,Mayo,09,Viernes,
34359741044,America before Columbus,0,0,0,,2009,Noviembre,22,Domingo,
34359741408,Westbound,0,0,0,,1959,Abril,25,Sabado,
34359738629,The Beast,0,0,0,,1996,Abril,28,Domingo,
34359738931,The Wedding Party,0,0,0,,2005,Abril,21,Jueves,
34359739003,My Soul to Take,25000000,19829957,-5170043,0.79319828,2010,Octubre,08,Viernes,
34359739126,Somewhere,8000000,0,-8000000,0.0,2010,Septiembre,03,Viernes,
34359739191,To Paint or Make Love,0,0,0,,2005,Agosto,24,Miercoles,
34359739241,Workingman's Death,0,0,0,,2005,Noviembre,25,Viernes,
34359739423,Samoure,0,0,0,,2005,Noviembre,27,Domingo,
34359739561,Beware of a Holy Whore,0,0,0,,1971,Agosto,28,Sabado,
34359739615,The Great Stone Face,0,0,0,,1968,Enero,01,Lunes,
34359739757,Lapland Odyssey,0,0,0,,2010,Octubre,15,Viernes,
34359739865,Black Bread,6000000,3770657,-2229343,0.6284428333333333,2010,Octubre,10,Domingo,
34359740517,The Dust of Time,0,0,0,,2008,Noviembre,22,Sabado,
34359740593,West Is West,3837625,3867000,29375,1.0076544737956419,2010,Octubre,19,Martes,East is East Collection
34359740627,From Beijing with Love,0,0,0,,1994,Octubre,13,Jueves,
34359740948,Hotel Pacific,0,0,0,,1975,Noviembre,27,Jueves,
34359741055,Hella W,2500000,0,-2500000,0.0,2011,Enero,01,Sabado,
34359741167,Making Plans for Lena,0,0,0,,2009,Septiembre,02,Miercoles,
34359741259,The Death King,0,0,0,,1990,Enero,25,Jueves,
34359741318,Model Shop,0,0,0,,1969,Febrero,11,Martes,
34359738729,Golem,0,0,0,,1980,Marzo,18,Martes,
34359738778,Arch of Triumph,0,0,0,,1948,Febrero,17,Martes,
34359738876,Alice in Wonderland,0,0,0,,1933,Diciembre,22,Viernes,
34359739054,Tenderness,0,0,0,,2009,Enero,15,Jueves,
34359739168,The Meetings of Anna,0,0,0,,1978,Octubre,08,Domingo,
34359739249,Hands Across the Table,0,0,0,,1935,Octubre,18,Viernes,
34359739563,Phone Call from a Stranger,0,0,0,,1952,Febrero,01,Viernes,
34359739787,Liliom,0,0,0,,1930,Octubre,05,Domingo,
34359740002,Two Drifters,0,0,0,,2005,Mayo,18,Miercoles,
34359740074,Reunion in France,0,0,0,,1942,Diciembre,25,Viernes,
34359740158,John Rabe,20000000,0,-20000000,0.0,2009,Abril,02,Jueves,
34359740227,Crazy Safari,0,0,0,,1991,Julio,05,Viernes,The Gods Must Be Crazy Collection
34359740413,Green Fish,0,0,0,,1997,Febrero,07,Viernes,
34359740680,Puzzlehead,500000,0,-500000,0.0,2005,Abril,21,Jueves,
34359740818,Sweet Karma,0,0,0,,2009,Enero,01,Jueves,
34359740851,The Dukes,0,0,0,,2007,Abril,23,Lunes,
34359740961,The Smiling Madame Beudet,0,0,0,,1923,Noviembre,09,Viernes,
34359739022,Whisper,12000000,5285197,-6714803,0.4404330833333333,2007,Noviembre,27,Martes,
34359739175,The Viking,0,0,0,,1931,Junio,21,Domingo,
34359739246,The Mirror,0,0,0,,1997,Abril,01,Martes,
34359739595,Mademoiselle Chambon,0,0,0,,2009,Octubre,14,Miercoles,
34359739827,For Love of Ivy,0,0,0,,1968,Julio,17,Miercoles,
34359740094,Porto of My Childhood,0,0,0,,2001,Septiembre,19,Miercoles,
34359740212,Attack the Block,14350531,3964682,-10385849,0.2762742368209232,2011,Mayo,12,Jueves,
34359740435,Clint Eastwood: Out of the Shadows,0,0,0,,2000,Septiembre,27,Miercoles,
34359740508,The Contestant,0,0,0,,2007,Marzo,15,Jueves,
34359740997,Margin Call,3500000,19504039,16004039,5.572582571428572,2011,Septiembre,28,Miercoles,
34359741082,White on Rice,0,0,0,,2009,Mayo,31,Domingo,
34359741242,The Perfect Game,12500000,3878993,-8621007,0.31031944,2010,Abril,01,Jueves,
34359741416,Zen,0,0,0,,2009,Enero,10,Sabado,
34359738440,Yella,3000000,0,-3000000,0.0,2007,Febrero,14,Miercoles,
34359738519,Batman: Under the Red Hood,0,6629178,6629178,,2010,Julio,27,Martes,
34359738877,Hardcore,0,0,0,,2004,Marzo,12,Viernes,
34359738962,Bianca Beauchamp: All Access,7500,0,-7500,0.0,2007,Julio,21,Sabado,
34359739589,Jud Süß,0,0,0,,1940,Septiembre,24,Martes,
34359739662,Kill!,0,0,0,,1968,Junio,22,Sabado,
34359739879,The Second Civil War,0,0,0,,1997,Marzo,15,Sabado,
34359740147,The Sin of Madelon Claudet,0,0,0,,1931,Octubre,23,Viernes,
34359740571,Cairo Station,0,0,0,,1958,Julio,31,Jueves,
34359740677,The Hireling,0,0,0,,1973,Junio,10,Domingo,
34359741091,Capricious Summer,0,0,0,,1968,Mayo,24,Viernes,
34359741140,Wichita,0,0,0,,1955,Julio,03,Domingo,
34359741184,Beijing Taxi,0,0,0,,2011,Junio,25,Sabado,
34359741243,Elephant White,10000000,0,-10000000,0.0,2011,Mayo,17,Martes,
34359741377,The Wild Bees,0,0,0,,2001,Noviembre,08,Jueves,
34359738368,Dream,0,0,0,,2008,Septiembre,26,Viernes,
34359738693,The President's Man,0,0,0,,2000,Enero,01,Sabado,
34359738738,Dirty Ho,0,0,0,,1979,Abril,07,Sabado,
34359738968,The Moth,0,0,0,,1980,Octubre,10,Viernes,
34359739216,August Underground's Mordum,300,0,-300,0.0,2003,Enero,01,Miercoles,
34359739397,Yogi Bear,80000000,201584141,121584141,2.5198017625,2010,Diciembre,11,Sabado,
34359739882,Twilight of a Woman's Soul,0,0,0,,1913,Noviembre,26,Miercoles,
34359740013,Sing a Song of Sex,0,0,0,,1967,Febrero,23,Jueves,
34359740207,Turbulence 2: Fear of Flying,0,0,0,,1999,Diciembre,27,Lunes,Turbulence Collection
34359740289,Yoo Hoo Mrs Goldberg,0,1131688,1131688,,2009,Julio,10,Viernes,
34359740358,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,0,0,0,,1977,Diciembre,01,Jueves,
34359740442,Read It and Weep,0,0,0,,2006,Julio,21,Viernes,
34359740576,Our Idiot Brother,10000000,17273593,7273593,1.7273593,2011,Agosto,26,Viernes,
34359740693,Phil Ochs: There But for Fortune,0,0,0,,2011,Enero,05,Miercoles,
34359741374,Mad Bastards,0,0,0,,2010,Enero,01,Viernes,
34359738625,06/05,0,0,0,,2004,Diciembre,15,Miercoles,
34359738664,The Extraordinary Adventures of Adèle Blanc-Sec,25000000,34100000,9100000,1.364,2010,Abril,09,Viernes,
34359738740,The End of Poverty?,1000000,57,-999943,5.7E-5,2008,Mayo,19,Lunes,
34359739089,Flamingo Road,0,0,0,,1949,Mayo,06,Viernes,
34359739586,Bandyta,0,0,0,,1997,Enero,01,Miercoles,
34359739919,Diary of a Wimpy Kid: Rodrick Rules,21000000,72417394,51417394,3.448447333333333,2011,Marzo,25,Viernes,Diary of a Wimpy Kid Collection
34359740090,Attenberg,0,0,0,,2010,Septiembre,14,Martes,
34359740324,Brushfires,0,0,0,,2004,Octubre,16,Sabado,
34359741036,What's Your Number?,20000000,30426096,10426096,1.5213048,2011,Septiembre,30,Viernes,
34359741087,See How They Fall,0,0,0,,1994,Agosto,31,Miercoles,
34359741108,Immortals,75000000,226904017,151904017,3.025386893333333,2011,Noviembre,10,Jueves,
34359741266,Sherlock Holmes: A Game of Shadows,125000000,334615000,209615000,2.67692,2011,Noviembre,22,Martes,Sherlock Holmes Collection
34359738481,So Proudly We Hail,0,0,0,,1943,Septiembre,08,Miercoles,
34359738486,The Girl of the Golden West,0,0,0,,1938,Marzo,18,Viernes,
34359738518,Cherrybomb,0,0,0,,2009,Febrero,08,Domingo,
34359738598,The Kautokeino Rebellion,7300000,0,-7300000,0.0,2008,Enero,18,Viernes,
34359738616,The Expendables,80000000,274470394,194470394,3.430879925,2010,Agosto,03,Martes,The Expendables Collection
34359738728,The Switch,19000000,49830607,30830607,2.6226635263157894,2010,Mayo,11,Martes,
34359738781,Men in the City,0,0,0,,2009,Septiembre,09,Miercoles,Men in the City Collection
34359738960,Dreams on Spec,0,0,0,,2007,Enero,01,Lunes,
34359738985,30 Days of Night: Dark Days,0,0,0,,2010,Octubre,04,Lunes,30 Days of Night Collection
34359739066,Megamind,130000000,321887208,191887208,2.476055446153846,2010,Octubre,28,Jueves,
